Model,Train_RMSE,Train_MAE,Train_R2,Test_RMSE,Test_MAE,Test_R2
Linear (sklearn),72284.05384115569,52702.77208297149,0.6096673794016723,70652.52284291558,52121.16204897715,0.6169936717472218
kNN (best CV),73425.6010271894,52755.02880178053,0.5972413595456327,72178.08323081184,52882.27282340117,0.6002750187495093
Bagged kNN,73421.60056362434,52733.4484731468,0.5972852455295905,72191.72504659057,52882.91037487887,0.600123906677137
"Linear via GD (median_income, ocean_proximity_INLAND, ocean_proximity_<1H OCEAN)",74479.66256747827,53872.99933381692,0.5855947519520295,72841.97843712431,53540.259511228614,0.5928878466030149
Dummy,115697.79364533882,91296.46145607694,0.0,114165.27031417929,90806.78845743735,-4.2875059214297906e-05
